,id,content,name,subject,date,image_url,material,origin
0,5046,Fragmentary Contract,p.dura.34,Vertrag Land (?) unbestimmbar,Sept. - Nov. 116 v.Chr. (Monat unsicher),http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100110000,Pergament,Dura - Europos
1,27078,Official Letter (?),p.dura.45,Brief? (amtlich) Besuch (königlich),II - III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400010000,Papyrus,Dura - Europos
2,17222,Deed of Sale,p.dura.25,Vertrag Kauf Sklave Weingarten (Teil) Erbschaft,17. Febr. 180,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100230000,Pergament,Dura - Europos
3,30495,Fragmentary Contract,p.dura.41,unbestimmbar,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4401200000,Papyrus,Dura - Europos
4,30502,Fragmentary List of Names (?),p.dura.51,Liste (?) Namen (?),III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400860000,Papyrus,Dura - Europos
5,30503,Fragmentary Account,p.dura.52,Abrechnung Namen Geld,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400790000,Papyrus,Dura - Europos
6,30504,Greek Fragments,p.dura.137,Militär (?),III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400654200,Papyrus,Dura - Europos
7,30505,Greek Fragments,p.dura.144,unbestimmbar,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4401170000,Papyrus,Dura - Europos
8,30507,Greek Fragment,p.dura.147,unbestimmbar,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400770000,Papyrus,Dura - Europos
9,30508,Greek Fragment,p.dura.148,unbestimmbar,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400810000,Papyrus,Dura - Europos
10,30509,Greek Fragments,p.dura.149,unbestimmbar,frühes III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4401150000,Papyrus,Dura - Europos
11,30510,Greek Fragments,p.dura.150,unbestimmbar,III,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400970000,Papyrus,Dura - Europos
12,78866,Names,rom.mil.rec.1.134,Fragmente Liste ? Namen,III,,Papyrus,Dura - Europos
13,832321,Roster?,basp;56;100,Fragment Dienstplan (?) Militär (?),200 - 230,http://hdl.handle.net/10079/digcoll/2771868,papyrus,Dura - Europos
14,832322,P.CtYBR inv. DP 23 fr. a,basp;56;100_1,Armee,200 - 256,,Papyrus,Dura - Europos
15,832323,P.CtYBR inv. DP 23 fr. b,basp;56;101_2,Armee,200 - 256,,Papyrus,Dura - Europos
16,832324,P.CtYBR inv. DP 23 fr. h,basp;56;101_3,Armee,200 - 256,,Papyrus,Dura - Europos
17,832325,Roster?,basp;56;103_4,Fragment Dienstplan (?) Militär (?),200 - 230,,papyrus,Dura - Europos
18,832327,keiner,basp;56;103_6,Fragment,200 - 230,,papyrus,Dura - Europos
19,832328,keiner,basp;56;104_7,Fragment,200 - 230,,papyrus,Dura - Europos
20,832329,keiner,basp;56;105_8,Fragment,200 - 230,,papyrus,Dura - Europos
21,832330,Acta diurna?,basp;56;107_9,Fragment Truppentagebuch Militär (?),200 - 230,,papyrus,Dura - Europos
22,832331,keiner,basp;56;108_10,Fragment,200 - 225,,papyrus,Dura - Europos
23,832332,keiner,basp;56;108_11,Fragment,200 - 230,,papyrus,Dura - Europos
24,832333,keiner,basp;56;109_12,Fragment,200 - 230,,papyrus,Dura - Europos
25,832334,keiner,basp;56;109_13,Fragment,200 - 230,,papyrus,Dura - Europos
26,832335,keiner,basp;56;110_14,Fragment Militär (?),200 - 230,,papyrus,Dura - Europos
27,832336,Roster?,basp;56;111_15,Fragment Dienstplan (?) Militär (?),200 - 230,,papyrus,Dura - Europos
28,832338,Acta diurna?,basp;56;114_17,Fragment Truppentagebuch Militär (?),200 - 230,,papyrus,Dura - Europos
29,17228,Divorce,p.dura.31,Vertrag Scheidung,18. Juni 204,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.3100220000,Pergament,Ossa (in der Nähe von Dura - Europos)
30,44835,List of Cavalrymen,p.dura.103,Liste Namen Soldaten Reiter,205 - 224,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400384100,Papyrus,Dura - Europos
31,44846,List of Names,p.dura.114,Liste Namen,207 - 220,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400634100,Papyrus,Dura - Europos
32,44776,"Letters from Provincial Headquarters, Assigning Mounts",rom.mil.rec.1.99,Briefe N.N. an N.N. Militär Zuweisung von Pferden,208,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400080000,Papyrus,Dura - Europos
33,44779,Fragment of Letters,chla.6.312,Fragmente Briefe unbestimmbar,208 (?),http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400320000,Papyrus,Dura - Europos
34,44782,Lettres circulaires,chla.6.315,Fragmente Kopien Briefe N.N. an N.N.,ca. 208,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400040000,Papyrus,Dura - Europos
35,78179,Opisthograph Fragment,p.dura.139,Fragment unbestimmbar,208 - 240 (?),http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4401130000,Papyrus,Dura - Europos
36,78182,Latin Fragment,p.dura.145,Fragment unbestimmbar,208 - 256,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400800000,Papyrus,Dura - Europos
37,44802,Fragment of Letters,rom.mil.rec.1.106,Fragmente Briefe N.N. an N.N.,ca. 210 - 220,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400420000,Papyrus,Dura - Europos
38,44803,Fragmentary Correspondence,chla.7.329,Fragmente Brief N.N. an N.N.,210 - 249,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400210000,Papyrus,Dura - Europos
39,44804,Fragments of Letters,chla.7.330,Fragmente Briefe N.N. an N.N.,ca. 210 - 220,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400280000,Papyrus,Dura - Europos
40,44806,Fragmentary Letter,chla.7.331,Fragmente Brief N.N. an N.N.,ca. 210 - 225,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400370000,Papyrus,Dura - Europos
41,44807,Fragments de lettres,chla.7.332,Fragmente Briefe N.N. an N.N.,ca. 210 - 230,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400510000,Papyrus,Dura - Europos
42,44808,Fragment of Letter,rom.mil.rec.1.111,Fragment Brief N.N. an N.N.,ca. 210 - 230,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400450000,Papyrus,Dura - Europos
43,44810,Fragmentary Letter,chla.7.334,Fragment Brief N.N. an N.N.,ca. 210 - 230,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400520000,Papyrus,Dura - Europos
44,78176,Latin Fragment,p.dura.135,Fragment unbestimmbar,210 - 230,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400610000,Papyrus,Dura - Europos
45,44791,Fragmentary Correspondence,rom.mil.rec.1.88,Fragmente Briefe unbestimmbar,1. Juli 211,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400100031,Papyrus,Dura - Europos
46,44801,Fragment of Letter,rom.mil.rec.1.110,Fragment Brief N.N. an N.N.,211 - 222,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400430000,Papyrus,Dura - Europos
47,78174,Latin Fragment,p.dura.133,Fragment unbestimmbar,211 - 217 (?) 235 - 238 (?),http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400660000,Papyrus,Dura - Europos
48,832326,keiner,basp;56;103_5,Fragment,212 - 230,,papyrus,Dura - Europos
49,44799,Fragment of Letter,rom.mil.rec.1.104,Fragment Brief N.N. an N.N.,213,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400680000,Papyrus,Dura - Europos
50,44863,Labels,p.dura.130,Etiketten,215 - 245 (?),http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400600000,Papyrus,Dura - Europos
51,17236,Greek Fragment,p.dura.132,unbestimmbar,216,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400130032,Papyrus,Dura - Europos
52,44786,Lettre officielle concernant les «frumentations»,chla.6.316,Brief (amtlich) N.N. an N.N. Militär Verpflegung,ca. 216,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400180000,Papyrus,Dura - Europos
53,44788,Fragmentary Letter,rom.mil.rec.1.108,Fragment Brief unbestimmbar,ca. 216 - 220,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400330000,Papyrus,Dura - Europos
54,44824,List of Principales,p.dura.93,Liste Namen Soldaten,216 - 232,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400414100,Papyrus,Dura - Europos
55,44774,File of Letters,chla.6.310,Fragmente Briefe N.N. an N.N. Militär,218 - 220,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4401050000,Papyrus,Dura - Europos
56,44830,Roster,p.dura.98,Liste Namen Soldaten Dienst Plan,218 - 219,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400114100,Papyrus,Dura - Europos
57,44831,List of Names,p.dura.99,Fragmente Liste Namen,ca. 218,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400550000,Papyrus,Dura - Europos
58,44800,Fragment of Letter,rom.mil.rec.1.105,Fragment Brief N.N. an N.N.,ca. 219,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400470000,Papyrus,Dura - Europos
59,44832,Roster,p.dura.100,Liste Namen Soldaten Dienst Plan,219,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400124100,Papyrus,Dura - Europos
60,44850,List of Names,p.dura.118,Liste Namen,219 - 233 (?) 242 (?) 255 (?),http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400264200,Papyrus,Dura - Europos
61,44864,Marking on Equipment,p.dura.131,Beschriftung Etikett,219 - 225 (?),,Leder,Dura - Europos
62,17231,Fragmentary Contract,p.dura.39,Vertrag (?) unbestimmbar,ca. 220 - 240,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4401120000,Papyrus,Dura - Europos
63,17232,Fragmentary Contract,p.dura.40,unbestimmbar,220 - 240,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4401190000,Papyrus,Dura - Europos
64,44856,List of Names,p.dura.124,Fragment Liste Namen,220 - 230,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400394200,Papyrus,Dura - Europos
65,78175,Latin Fragment,p.dura.134,Fragment unbestimmbar,220 - 222 (?),http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400500000,Papyrus,Dura - Europos
66,78180,Latin Fragment,p.dura.142,Fragment unbestimmbar,220 - 230,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400394100,Papyrus,Dura - Europos
67,832337,Roster?,basp;56;113_16,Fragment Dienstplan (?) Militär (?),220 - 256,,papyrus,Dura - Europos
68,44792,Letters to the Tribune from a Praepositus,chla.6.319,Briefe N.N. an N.N. Militär,221,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400150000,Papyrus,Dura - Europos
69,44794,Fragment of Letter,rom.mil.rec.1.109,Fragment Brief unbestimmbar,221,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400230000,Papyrus,Dura - Europos
70,78181,Latin Fragment,p.dura.143,Fragment unbestimmbar,221 - 242,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400560000,Papyrus,Dura - Europos
71,44796,Copy of Letter with Lists of Names by Centuries and Turmae,rom.mil.rec.1.92,Brief N.N. an N.N. Liste Namen Soldaten,13. März 222 - Dez. 225,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400164200,Papyrus,Dura - Europos
72,44833,Roster,p.dura.101,Liste Namen Soldaten Dienst Plan,222,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400124200,Papyrus,Dura - Europos
73,44834,Roster? List of Names by Centuries,p.dura.102,Liste Namen Soldaten,ca. 222 - 228,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400164100,Papyrus,Dura - Europos
74,44852,"List of Names by Centuries, with Dates by Day and Month",p.dura.120,Liste Namen Soldaten,Okt. - Dez. 222,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400294100,Papyrus,Dura - Europos
75,44813,Morning Report,p.dura.82,Bericht Militär Dienst,223 - 233,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400034100,Papyrus,Dura - Europos
76,17224,Deed of Sale,p.dura.27,Vertrag Kauf,ca. 225 - 240,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400880000,Papyrus,Dura - Europos
77,17235,Receipt of Money for Purchase of Barley,p.dura.129,Quittung Geld Preis Gerste,Dez. 225,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400930000,Papyrus,Dura - Europos
78,44772,The Feriale Duranum,p.dura.54,Kalender Liste Feiertage,225 - 235,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400020000,Papyrus,Dura - Europos
79,44821,Tabulation,p.dura.90,Fragment Liste Rechnungen,225 - 235,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400384200,Papyrus,Dura - Europos
80,44822,Tabulation or Morning Report,p.dura.91,Fragment Liste Militär,ca. 225 - 235,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400194100,Papyrus,Dura - Europos
81,44823,Tabulation,p.dura.92,Fragment Liste,ca. 225 - 235,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400270000,Papyrus,Dura - Europos
82,58145,Greek Fragment,p.dura.140,Fragment unbestimmbar,225 - 235,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400194200,Papyrus,Dura - Europos
83,17223,Deed of Sale,p.dura.26,Vertrag Kauf Land (Weingarten) Geld,26. Mai 227,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4401010000,Papyrus,Sachare (in der Nähe von Dura - Europos)
84,17237,Greek Fragment,p.dura.141,unbestimmbar,230 - 240,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400414200,Papyrus,Dura - Europos
85,44816,Morning Report (?),p.dura.85,Fragmente Bericht Militär Dienst,ca. 230,http://wwwapp.cc.columbia.edu/ldpd/app/apis/item?mode=item&key=yale.apis.4400314100,Papyrus,Dura - Europos
